,property_id,property_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,hotel_facilities,room_facilities
0,H000001,Baragarh Regency,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh","['Hadimba Temple', 'Naggar Village', 'Himalayan Nyingmapa Gompa', 'Tibetan Monasteries', 'Naggar', 'Van Vihar', 'Manali 1st Super Market', 'Manu Temple', 'Lady Willingdon Hospital', 'Chandrakhani Pass', 'Gadham Thekchhokling Gompa', 'Manali Bus Stand', 'Civil Hospital', 'Others', 'Arjun Gufa', 'Nehru Kund', 'Beas Kund', 'Club House']",Manali,Himachal Pradesh,India,32.1393865,77.1546599,Resort,2,"['Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Gardens', 'Dance Performances (on demand)', 'Catering', 'Multi Lingual Staff', 'Wake-up Call / Service', 'Suitable For Children', 'Kitchen available (home cook food on request)', 'Open Air Restaurant / Dining ', 'Veg / Non Veg Kitchens Separate ', 'Vegetarian Food / Jain Food Available', 'Car Rental', 'Taxi Services', 'Food Facility', 'Internet Access Free', ""Children's Park"", 'Postal / Parcel Services', ' Cook Services', 'Air / Rail Booking', 'Courier Service', 'Guide / Sightseeing Service', 'Internet / Fax (Reception area only)', 'RO Water Purification System', 'Parking Facility', 'Internet Access', 'Restaurant', 'Room Service', 'Fire Exit Signs', 'Full Time Operation for All 7 Days', 'Porter Services Available', 'Security at All Hotel Entrances', 'Suites']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Heating Facility (on request) ', 'Internet Connection In Room', 'Telephone', 'Shower Facility Available', 'Breakfast Available (surcharge)', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Window Opens', 'Makeup / Shaving Mirror', 'Safe - In - Room ', 'Hill View from all Rooms', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', 'Private Garden', 'TV', 'Bathrobes', 'Mirror', 'Gas Cylinder - Chargeable', 'Luggage Rack', 'Attached Bathroom', 'Bedside Table', 'Clothes Hook in Bathroom', 'Complete Bedding', 'Daily Room Cleaning', 'Dustbins', 'Extra Toilteries on Demand', 'Modern Toilet Facilities', 'Room Door Fitted with Lock and Key', 'Room with Window/Ventilation', 'Rooms with Attached Bathrooms', 'Sufficient Lighting', 'Western Toilet Seat', 'Breakfast chargeable']"
1,H000002,Asian Suites A- 585,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon","['Sushant Lok', 'Sahara Mall', 'Amity International School']",Gurgaon,Haryana,India,28.4720966,77.0725457,Guest House,0,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Business Center ', 'Currency Exchange', 'Doctor on Call', 'Health Club / Gym Facility Available', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Power Backup']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Hairdryer (on request)', 'Tea Coffee Kettle / Maker', 'Internet Connection In Room', 'Telephone', 'Breakfast Available (surcharge)', 'Newspapers', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Makeup / Shaving Mirror', 'Coffee Table', 'Snacks / Beverage', 'TV', 'Room Heater', 'Mirror', 'Mini Refrigerator', 'Utensils (on request)', 'Attached Bathroom']"
2,H000003,Bevvan Resort,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Resort is undergoing minor external repair/maintenance, inconvenience regretted Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.","Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa","['Anjuna Beach', 'Calangute Beach', 'Titos lane, baga', 'Baga Beach', 'Calangute Area', 'North Goa', 'Calangute Bus Stand', 'Candolim Beach']",Goa,Goa,India,15.5483979815,73.7576337604,Resort,0,"['Swimming Pool', 'Bar / Lounge ', 'Laundry Service Available', 'Multi Cuisine Restaurant']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Telephone', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Window Opens', 'Makeup / Shaving Mirror', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', ""Split A.C's"", 'Mirror', 'Mini Refrigerator', 'Luggage Rack', 'Attached Bathroom']"
3,H000004,Apple Inn Cottage,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Simsa,"['The Mall', 'Tibetian Monastery', 'Vashisht Hot Baths', 'Jagatsuhk', 'Village Simsa', 'Chandrakhani Pass', 'Manali 1st Super Market']",Manali,Himachal Pradesh,India,32.2236026,77.1858995,Cottage,2,"['Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Parking Facilities Available', 'Local Tour / Travel Desk', 'Car Rental']","['Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Heating Facility (on request) ', 'Telephone', ' Hot / Cold Running Water']"
4,H000005,Anmol Hotel Pvt.Ltd,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried couples are not allowed for check in. Guests with local Delhi NCR ID will not be allowed for check-in.,"8180 Street No.-6,Arakashan Road,Paharganj","['Gaffar Market', 'YMCA Institute', 'Agrasen Boali', 'Chandni Chowk', 'Shivaji Stadium', 'Paharganj', 'Jantar Mantar', 'Talkatora Indoor Stadium', 'Central Delhi', 'Ajmeri Gate', 'Karnail Singh Stadium']",Delhi,Delhi,India,28.6467775,77.2127353,Hotel,2,"['Internet Access - Surcharge', 'Laundry Service Available', 'Parking Facilities Available', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Medical Assistance Available', 'Power Backup']","['Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ensuite / Private Bathroom', 'Telephone', ' Hot / Cold Running Water', 'Mirror']"
7,H000006,BB Palace-A Boutique Hotel,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"2638-2642 Gurudwara Road,Karol Bagh","['International Airport', 'Domestic Airport', 'New Delhi Railway Station', 'India Gate', 'Red Fort', 'Lotus Temple', 'Nehru Place', 'Connaught Place', 'Jantar Mantar', 'Qutab Minar', 'Gurgaon', 'Birla Mandir', 'Karol Bagh Metro Station', 'Noida', 'Liberty Theatre', 'Jhandewalan Mandir', 'Gaffar Market', 'Shivaji Stadium', 'Karol Bagh Area', 'Talkatora Indoor Stadium', 'Sarai Rohilla Station', 'Ajmeri Gate', 'Karnail Singh Stadium', 'West Delhi']",Delhi,Delhi,India,28.6505881342,77.1946919955,Hotel,3,"['Banquet Facilities', 'Barbecue Area', 'Business Center ', 'Concierge', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Secretarial Services', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Medical Assistance Available', 'Air-Conditioning - Central', 'Welcome Drinks', 'Power Backup', 'Audio - Visual Equipment', 'Multi Lingual Staff', 'Wake-up Call / Service', 'Suitable For Children', 'Separate Sitting Area', 'Coffee Shop / Cafe', 'Conference Facility ', 'ATM / Banking', 'Veranda', 'Open Air Restaurant / Dining ', 'Veg / Non Veg Kitchens Separate ', 'Vegetarian Food / Jain Food Available', 'Car Rental', 'Express Laundry', 'Water Dispenser Available', 'Taxi Services', 'Board Room', 'Rooftop Garden', 'Food Facility', ' Drivers Rest Room', 'Internet Access Free', 'Newspapers In Lobby', 'Family Room', 'Room Service (24 Hours)', 'STD / ISD', 'Baggage Room', 'Adjoining Rooms', 'RO Water Purification System', 'Outdoor Parking - Secured', 'Parking Facility', 'Internet Access', 'Restaurant', 'Room Service', 'CCTV', 'Full Time Operation for All 7 Days', 'Paid Transfers', 'Pest Control Facility', 'Public Restrooms', 'Stamps and Mailing Facility']","['Room Service ', 'Air Conditioning ', 'Ensuite / Private Bathroom', 'Hairdryer (on request)', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Telephone', 'Voicemail', 'Shower Facility Available', 'Newspapers', 'Reading Lamps', 'Shower Caps Available', 'Mineral Water', 'Premium Beddings / Hypo-Allergenic ', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Breakfast Available', 'Window Opens', 'Makeup / Shaving Mirror', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', 'Bathrobes', 'Mirror', 'Luggage Rack']"
8,H000007,Art Inn Homestay,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.,"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan","['Others', 'K.L. Saini Stadium', 'BAPS Shri Swaminarayan Mandir']",Jaipur,Rajasthan,India,26.9047751,75.7488641,Homestay,1,"['Doctor on Call', 'Lobby', 'Front Desk', 'Local Tour / Travel Desk']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Mineral Water', 'Attached Bathroom']"
10,H000008,Ashirwad Homestay,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We will require ID proof of all guest including spouses and fiances. Checkout is 12 noon which can be flexible depending on guest booking for that particular day.,"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,","['Rg Baruah Road', 'Nehru Stadium', 'Guwahati Railway Station', 'Assam State Museum', 'Guwahati Planetarium']",Guwahati,Assam,India,26.1661828147,91.7774135711,Hotel,0,"['Business Center ', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Parking Facilities Available', 'Welcome Drinks', 'Power Backup', 'Gardens', 'Conference Facility ', 'Kitchen available (home cook food on request)', 'Car Rental', 'Board Room', 'Internet Access Free', 'Newspapers In Lobby', ""Children's Park"", ' Cook Services', 'Parking Facility', 'Room Service']","['Room Service ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Tea Coffee Kettle / Maker', 'Mirror']"
15,H000009,ARAVINDAR RESIDENCY,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Most hotels do not allow unmarried / unrelated couples to check-in. This is at full discretion of the hotel management. No refund would be applicable in case the hotel denies check-in under such circumstances .,"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",['Thuraipakkam'],Chennai,Tamil Nadu,India,12.8944628,80.2273584,Hotel,0,"['Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Power Backup', 'Internet Access Free', 'Room Service (24 Hours)', 'Outdoor Parking - Secured']","['Air Conditioning ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', ' Hot / Cold Running Water', 'Housekeeping', 'Toiletries', 'TV', 'Mirror']"
16,H000010,Balaram Palace Resort,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly *Valid Identification Documents/ Proof are Mandatory. *In case of any unusual/ improper/ suspicious act, Hotel can cancel Room. *Unmarried and unrelated couples will not be allowed to check in due to security reason. *Customer has to carry a copy of booking voucher at the time of check in. *Check Inn and Check Out is 12:00 Noon. After that half day charges will be applicable. *Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel.  *Pets are not allowed.","Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",['Banaskantha'],Chitrasani,Gujarat,India,24.26778,72.483507,Palace,3,"['Banquet Facilities', 'Doctor on Call', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Major Credit Cards Accepted', 'Doorman', 'Wake-up Call / Service', 'Car Rental', 'Guide / Sightseeing Service', 'Room Service']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Telephone', 'Shower Facility Available', ' Hot / Cold Running Water', 'Housekeeping', 'Toiletries', 'Safe - In - Room ', 'Wardrobe', 'HD / LCD Satellite TV ', 'Mirror', 'Dressing Area', 'Luggage Rack', 'Attached Bathroom', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Do-Not-Disturb Notice', 'Dustbins', 'Extra Toilteries on Demand', 'Sufficient Lighting', 'Western Toilet Seat']"
