,location_name,latitude,longitude
0,new york,42.0004786377709,-74.8309431372549
1,california,36.90308075689545,-120.17811173829377
2,illinois,40.367719710544456,-89.05563025499656
3,florida,28.150635987261147,-82.13648099787684
4,texas,30.80193484848485,-97.79111851851852
5,pennsylvania,40.60004346590909,-77.62797960227273
6,georgia,32.90860421052631,-83.55564255639098
7,district of columbia,38.9047,-77.0163
8,massachusetts,42.06705905511812,-71.11909370078737
9,arizona,33.904746712018145,-111.57759886621317
10,michigan,43.57989364864865,-84.98434716216215
11,washington,47.33780335463259,-121.36733785942492
12,minnesota,45.49070698447894,-94.27401507760533
13,colorado,39.18949807692307,-105.2927297008547
14,maryland,39.08983625954198,-76.96865
15,nevada,38.78712419354838,-117.40238064516129
16,missouri,38.45824756097561,-92.4146638836773
17,oregon,44.53192062350119,-122.06266378896882
18,puerto rico,18.24016845878136,-66.38615089605736
19,ohio,40.35796892971246,-82.79142484025559
20,indiana,39.993173919308354,-86.3033439481268
21,north carolina,35.44408541666667,-79.30539713541667
22,virginia,37.77841428571429,-78.50168465045593
23,wisconsin,44.13997335025381,-89.64993299492387
24,rhode island,41.66860322580646,-71.57461612903225
25,utah,39.886977370030586,-111.75457675840978
26,tennessee,35.813325,-86.2798492
27,kentucky,37.773694,-85.42112545454543
28,louisiana,30.9696381147541,-91.82597295081968
29,connecticut,41.49424098360656,-72.91664644808742
30,oklahoma,35.545557246376816,-96.7299623188406
31,hawaii,20.8201335443038,-157.06493670886078
32,nebraska,41.20070929432013,-98.32200447504304
33,new mexico,34.7945586,-106.6391416
34,alabama,32.94936666666666,-86.74318911564626
35,south carolina,34.04034042553192,-81.0565525531915
36,iowa,42.03827404505387,-93.3438903036239
37,kansas,38.50859519230769,-97.30783832417582
38,arkansas,35.08363637846656,-92.39067243066884
39,idaho,44.60788978723404,-114.76089659574468
40,mississippi,32.9572509478673,-89.63968933649288
41,new jersey,40.269471341463415,-74.56366280487805
42,alaska,61.48817198795181,-150.2286786144578
43,new hampshire,43.454148780487806,-71.51830487804878
44,maine,44.40037424242424,-69.59924393939393
45,north dakota,47.515166243654825,-99.68832969543148
46,west virginia,38.60665322580645,-80.86735737327187
47,south dakota,44.26978380281691,-99.0101192488263
48,delaware,39.13784050632911,-75.48806835443038
49,montana,47.09541790393013,-110.95608187772925
50,vermont,43.92184859813084,-72.6974046728972
51,wyoming,42.77141684210526,-107.7272836842105
52,durham,39.06476,-104.12017999999998
53,orlando,32.3064,-89.3512
54,pittsburgh,40.4397,-79.9763
55,atlanta,37.98494444444444,-91.05076666666668
56,walsenburg,37.6307,-104.7818
57,higden,35.5667,-92.2049
58,san diego,30.2961,-107.68055
59,amarillo,35.1984,-101.8316
60,millsboro,39.2897,-77.65559999999999
61,wisconsin dells,43.6336,-89.7752
62,missoula,46.8751,-114.0214
63,gatlinburg,35.725,-83.4938
64,williams,39.960457142857145,-101.94231428571428
65,kennesaw,34.026,-84.6177
66,green river,40.2531,-109.82165
67,sunnyvale,35.090500000000006,-109.2916
68,houston,40.072425,-95.7666125
69,joshua tree,34.1236,-116.3128
70,warwick,39.2697,-87.76535
71,coronado,32.6649,-117.1604
72,goleta,34.4361,-119.8594
73,anniston,35.24775,-87.5701
74,john day,44.4181,-118.9563
75,roanoke,35.905766666666665,-88.3136
76,oxford,38.71475333333333,-88.49022666666669
77,tulsa,36.1283,-95.9042
78,moab,38.5701,-109.5478
79,raton,36.8849,-104.4396
80,bentonville,37.5501,-88.9204
81,springfield,38.49850952380953,-88.62470952380951
82,jefferson,38.66864375,-87.6313375
83,wilkesboro,36.1424,-81.174
84,marietta,37.21362222222222,-87.6241111111111
85,watsonville,36.9206,-121.7708
86,eureka,40.55164166666666,-99.22004999999996
87,mountain home,38.27943333333334,-96.86103333333334
88,new orleans,30.0687,-89.9288
89,enid,36.4063,-97.87
90,naples,36.862,-94.81652
91,pottsboro,33.7708,-96.6714
92,lander,42.8312,-108.7599
93,seattle,47.6211,-122.3244
94,miami,34.21632000000001,-95.96422
95,markleysburg,39.7364,-79.4516
96,longmont,40.1686,-105.1005
97,fayetteville,36.49033636363636,-85.0631909090909
98,rexburg,43.8226,-111.7919
99,jackson,38.00948235294117,-92.12345294117648
100,seymour,38.69601428571429,-90.22285714285714
101,tampa,33.2713,-89.79945000000001
102,mammoth lakes,37.6273,-118.99
103,greenville,37.45901818181819,-86.38032727272729
104,east liverpool,40.6333,-80.5677
105,augusta,40.31985454545455,-89.64813636363637
106,palm springs,30.21825,-98.31755
