,property_id,property_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,hotel_facilities,room_facilities,site_review_rating, Bike on Rent, Drivers Rest Room,ATM / Banking,Access Via Exterior Corridors,Adjoining Rooms,Air / Rail Booking,Air-Conditioning - Central,Amphitheatre,Ayurvedic Facilities ,Babysitting/ Child Care (surcharge),Badminttion Court,Baggage Room,Ballroom,Banquet Facilities,Bar / Lounge ,Barbecue Area,Basketball Court ,Beauty Salon - on charge,Billiards,Board Room,Bowling,Business Center,CCTV,Campfire / Bon Fire,Car Rental,Casino,Catering,Cell Phone Rental,Children's Park,City Shuttle Service,Clubhouse,Coffee Shop / Cafe,Computer Rental,Concierge,Conference Facility,Courier Service,Currency Exchange,Disabled Friendly Facilities ,Disabled Friendly Rooms,Discotheque ,Doctor on Call,Doorman,Dry Cleaning,Electronic / Magnetic Keys,Electronic Check-Out,Exhibit Space,Express Check-In / Check-Out,Express Laundry,Extra Person / Child - Share the same room,Family Room,Fax Machine,Fire Place Available ,Fire Safety,First-Aid Kit at Front Desk,Fishing,Fitness Equipment,Floor Butler,Flower Shop,Free Local Calls,Front Desk,Full Time Operation for All 7 Days,Fun Floats,Games Zone,Gardens,Gift Shop ,Golf Course,Grocery,Guide / Sightseeing Service,Health Club / Gym Facility Available,Hookah Lounge,In House Events ,Internet Access - Surcharge,Jacuzzi,Karaoke,Kids Play Zone,Laundry Service Available,Library,Lift / Elevator,Limousine Service Available,Lobby,Local Tour / Travel Desk,Locker Facility,Major Credit Cards Accepted,Marina On Site,Massage Services,Medical Assistance Available,Metal Detectors,Mini Theatre,Multi Cuisine Restaurant,Multi Lingual Staff,Nature Walk,Night Club,Open Air Restaurant / Dining,Oxygen Cylinder (on request),Paid Transfers,Parking Facility,Party hall,Pest Control Facility,Pets Allowed,"Pick Up and Drop (Rly Station, Bus Stand, Temple)",Picnic Area,Pool Table,Postal / Parcel Services,Power Backup,Private / Plunge Pool,Private Beach,Public Restrooms,RO Water Purification System,Recreation Zone,Restaurant,Rooftop Garden,Sauna,Secretarial Services,Security at All Hotel Entrances,Self Check - In,Separate Sitting Area,Skiing Facility Available,Smoke Detector,Smoking Area,Solarium,Speciality Restaurant,Squash court,Stamps and Mailing Facility,Suites,Swimming Pool,Table Tennis,Taxi Services,Tennis Court,Valet service,Vegetarian Food / Jain Food Available,Veranda,Virtual Golf,Voicemail,Wake-up Call / Service,Water Dispenser Available,Wedding Services Facility,Welcome Drinks,Wheelchair Accessibility - Room,Whirlpool Bath / Shower Cubicle,X-Ray Machine at Entrance,120 AC,220 AC,Air Conditioning,Air Cooler,Alarm Clock,Attached Bathroom,Balcony,Bathrobe,Bathrobes,Bathroom Amenities,Bathtub,Bathtub Only,Bedside Table,Bidet,Blackout Drapes,Breakfast Available,Breakfast chargeable,Ceiling Fan,Centrally Heated,Channel Music,Climate Control,Closet,Clothes Dryer,Clothes Hook in Bathroom,Coffee Table,Complete Bedding,Complimentary Use of Bicycle,Computer,Cribs Available,Crockery / Cutlery,Curtains/Shades,Daily Room Cleaning,Desk,Direct Dial Phone,Disabled Friendly Bathrooms,Do-Not-Disturb Notice,Dressing Area,Dustbins,Ensuite / Private Bathroom,"Extra Bed, Towels, Linens, Bedding (on request)",Extra Toilteries on Demand,Full Kitchen,Gas Cylinder - Chargeable,HD / LCD Satellite TV,Hairdryer,Handicapped Facilities,Hill View from all Rooms,Hot / Cold Running Water,Housekeeping,Ice Bucket on Demand,In-room Storage Space,Induction Plate,International Switch Plugs (on request),Kitchenette,Luggage Rack,Mineral Water,Mini Bar,Mini Refrigerator,Mirror,Modern Toilet Facilities,Movie Channels,Movies &amp; Games on demand,Newspapers,No Smoking Room,Patio - Property,Phone Messaging Services,Pillow menu,Premium Amenities / Toiletries,Premium Beddings / Hypo-Allergenic ,Primium Bathrooms,Private Garden,Radio,Reading Lamps,Remote Control TV,Remote Controlled Lights and Fan,Rollaway Beds,Room Door Fitted with Lock and Key,Safe (on request),Sanitary Bin,Second Bathrooms,Separate Bathtubs And Shower,Shared Bathroom,Shower,Shower Cap,Slippers,Snacks / Beverage,Sofa Cum Bed Available,Sofa Table / Extra Seats,Soft Bar,Soundproof Windows,Split A.C's,Studio Apartment - Large,Tea Coffee Kettle / Maker,Telephone,Television,Toaster,Toiletries,Utensils (on request),Video/ DVD/ CD Player Available,Wardrobe,Washing machine,Western Toilet Seat,Work Station,Heating Facility on Request,Safe,Iron / Ironing board,Microwave / Oven,Window Open / Ventilation,Outdoor Parking,Porter Services,Spa Services,Poolside Cafe,Airport Transfer
0,H000001,Homewood Suites by Hilton RaleighDurham APResearch Triangle,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,4603 Central Park Dr,"['Hadimba Temple', 'Naggar Village', 'Himalayan Nyingmapa Gompa', 'Tibetan Monasteries', 'Naggar', 'Van Vihar', 'Manali 1st Super Market', 'Manu Temple', 'Lady Willingdon Hospital', 'Chandrakhani Pass', 'Gadham Thekchhokling Gompa', 'Manali Bus Stand', 'Civil Hospital', 'Others', 'Arjun Gufa', 'Nehru Kund', 'Beas Kund', 'Club House']",Durham,NC,US,35.9,-78.8,Resort,2,"['Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Gardens', 'Dance Performances (on demand)', 'Catering', 'Multi Lingual Staff', 'Wake-up Call / Service', 'Suitable For Children', 'Kitchen available (home cook food on request)', 'Open Air Restaurant / Dining ', 'Veg / Non Veg Kitchens Separate ', 'Vegetarian Food / Jain Food Available', 'Car Rental', 'Taxi Services', 'Food Facility', 'Internet Access Free', ""Children's Park"", 'Postal / Parcel Services', ' Cook Services', 'Air / Rail Booking', 'Courier Service', 'Guide / Sightseeing Service', 'Internet / Fax (Reception area only)', 'RO Water Purification System', 'Parking Facility', 'Internet Access', 'Restaurant', 'Room Service', 'Fire Exit Signs', 'Full Time Operation for All 7 Days', 'Porter Services Available', 'Security at All Hotel Entrances', 'Suites']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Heating Facility (on request) ', 'Internet Connection In Room', 'Telephone', 'Shower Facility Available', 'Breakfast Available (surcharge)', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Window Opens', 'Makeup / Shaving Mirror', 'Safe - In - Room ', 'Hill View from all Rooms', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', 'Private Garden', 'TV', 'Bathrobes', 'Mirror', 'Gas Cylinder - Chargeable', 'Luggage Rack', 'Attached Bathroom', 'Bedside Table', 'Clothes Hook in Bathroom', 'Complete Bedding', 'Daily Room Cleaning', 'Dustbins', 'Extra Toilteries on Demand', 'Modern Toilet Facilities', 'Room Door Fitted with Lock and Key', 'Room with Window/Ventilation', 'Rooms with Attached Bathrooms', 'Sufficient Lighting', 'Western Toilet Seat', 'Breakfast chargeable']",4.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
1,H000002,Four Points by Sheraton Orlando International Drive,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,5905 International Drive,"['Sushant Lok', 'Sahara Mall', 'Amity International School']",Orlando,FL,US,28.5,-81.5,Guest House,0,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Business Center ', 'Currency Exchange', 'Doctor on Call', 'Health Club / Gym Facility Available', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Power Backup']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Hairdryer (on request)', 'Tea Coffee Kettle / Maker', 'Internet Connection In Room', 'Telephone', 'Breakfast Available (surcharge)', 'Newspapers', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Makeup / Shaving Mirror', 'Coffee Table', 'Snacks / Beverage', 'TV', 'Room Heater', 'Mirror', 'Mini Refrigerator', 'Utensils (on request)', 'Attached Bathroom']",5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,H000003,Hampton Inn Pittsburgh/West Mifflin,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,1550 Lebanon Church Road,"['The Mall', 'Tibetian Monastery', 'Vashisht Hot Baths', 'Jagatsuhk', 'Village Simsa', 'Chandrakhani Pass', 'Manali 1st Super Market']",Pittsburgh,PA,US,40.3,-80.0,Cottage,2,"['Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Parking Facilities Available', 'Local Tour / Travel Desk', 'Car Rental']","['Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Heating Facility (on request) ', 'Telephone', ' Hot / Cold Running Water']",5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,H000004,JW Marriott Atlanta Buckhead,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,3300 Lenox Road NE,"['International Airport', 'Domestic Airport', 'New Delhi Railway Station', 'India Gate', 'Red Fort', 'Lotus Temple', 'Nehru Place', 'Connaught Place', 'Jantar Mantar', 'Qutab Minar', 'Gurgaon', 'Birla Mandir', 'Karol Bagh Metro Station', 'Noida', 'Liberty Theatre', 'Jhandewalan Mandir', 'Gaffar Market', 'Shivaji Stadium', 'Karol Bagh Area', 'Talkatora Indoor Stadium', 'Sarai Rohilla Station', 'Ajmeri Gate', 'Karnail Singh Stadium', 'West Delhi']",Atlanta,GA,US,33.8,-84.4,Hotel,3,"['Banquet Facilities', 'Barbecue Area', 'Business Center ', 'Concierge', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Secretarial Services', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Medical Assistance Available', 'Air-Conditioning - Central', 'Welcome Drinks', 'Power Backup', 'Audio - Visual Equipment', 'Multi Lingual Staff', 'Wake-up Call / Service', 'Suitable For Children', 'Separate Sitting Area', 'Coffee Shop / Cafe', 'Conference Facility ', 'ATM / Banking', 'Veranda', 'Open Air Restaurant / Dining ', 'Veg / Non Veg Kitchens Separate ', 'Vegetarian Food / Jain Food Available', 'Car Rental', 'Express Laundry', 'Water Dispenser Available', 'Taxi Services', 'Board Room', 'Rooftop Garden', 'Food Facility', ' Drivers Rest Room', 'Internet Access Free', 'Newspapers In Lobby', 'Family Room', 'Room Service (24 Hours)', 'STD / ISD', 'Baggage Room', 'Adjoining Rooms', 'RO Water Purification System', 'Outdoor Parking - Secured', 'Parking Facility', 'Internet Access', 'Restaurant', 'Room Service', 'CCTV', 'Full Time Operation for All 7 Days', 'Paid Transfers', 'Pest Control Facility', 'Public Restrooms', 'Stamps and Mailing Facility']","['Room Service ', 'Air Conditioning ', 'Ensuite / Private Bathroom', 'Hairdryer (on request)', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Telephone', 'Voicemail', 'Shower Facility Available', 'Newspapers', 'Reading Lamps', 'Shower Caps Available', 'Mineral Water', 'Premium Beddings / Hypo-Allergenic ', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Breakfast Available', 'Window Opens', 'Makeup / Shaving Mirror', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', 'Bathrobes', 'Mirror', 'Luggage Rack']",4.0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
4,H000005,Best Western-rambler,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.,457 US Highway 85 87,"['Others', 'K.L. Saini Stadium', 'BAPS Shri Swaminarayan Mandir']",Walsenburg,CO,US,37.7,-104.8,Homestay,1,"['Doctor on Call', 'Lobby', 'Front Desk', 'Local Tour / Travel Desk']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Mineral Water', 'Attached Bathroom']",3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,H000006,Sugar Maple Inn,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We will require ID proof of all guest including spouses and fiances. Checkout is 12 noon which can be flexible depending on guest booking for that particular day.,8546 Edgemont Rd,"['Rg Baruah Road', 'Nehru Stadium', 'Guwahati Railway Station', 'Assam State Museum', 'Guwahati Planetarium']",Higden,AR,US,35.6,-92.2,Hotel,0,"['Business Center ', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Parking Facilities Available', 'Welcome Drinks', 'Power Backup', 'Gardens', 'Conference Facility ', 'Kitchen available (home cook food on request)', 'Car Rental', 'Board Room', 'Internet Access Free', 'Newspapers In Lobby', ""Children's Park"", ' Cook Services', 'Parking Facility', 'Room Service']","['Room Service ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Tea Coffee Kettle / Maker', 'Mirror']",5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,H000007,Pacific Terrace Hotel,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Most hotels do not allow unmarried / unrelated couples to check-in. This is at full discretion of the hotel management. No refund would be applicable in case the hotel denies check-in under such circumstances .,610 Diamond Street,['Thuraipakkam'],San Diego,CA,US,32.8,-117.3,Hotel,0,"['Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Power Backup', 'Internet Access Free', 'Room Service (24 Hours)', 'Outdoor Parking - Secured']","['Air Conditioning ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', ' Hot / Cold Running Water', 'Housekeeping', 'Toiletries', 'TV', 'Mirror']",3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,H000008,Best Western Santa Fe,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,4600 I-40 E,"['Beach Road', 'Mandarmani Beach']",Amarillo,TX,US,35.2,-101.8,Resort,0,"['Doctor on Call', 'Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Power Backup', 'Gardens', 'Room Service']","['Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Attached Bathroom']",5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,H000009,Atlantic Inn,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Early check in and late check out is subject to availability and extras will be charged on direct payable basis.  No pets allowed.,28534 Dupont Blvd,"['Arthur Seat', 'Yercaud Main Town', 'Killiyur Falls']",Millsboro,DE,US,38.6,-75.3,Guest House,0,"['Business Center ', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', '24 Hour Front Desk', 'Power Backup', 'Gardens', 'Room Service (24 Hours)', 'STD / ISD', 'Parking Facility']","['Room Service ', 'Telephone', 'Newspapers', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Breakfast Available', 'Toiletries', 'HD / LCD Satellite TV ', 'Mirror', 'Attached Bathroom']",5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,H000010,Best Western Ambassador Inn & Suites,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The primary guest must be at least 18 years of age to check into this hotel As per Government regulation, it is mandatory for all guests adove 18 years of age carry a valid photo identity card and address proof at the time of check-in.",610 S Frontage Rd,"['Others', 'Krishna Market', 'Sector-43 Bus Stand', 'Mohali Cricket Stadium', 'Hockey Stadium']",Wisconsin Dells,WI,US,43.6,-89.8,Resort,0,"['Swimming Pool', 'Bar / Lounge ', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Multi Cuisine Restaurant ', 'Sauna', 'Conference Facility']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Telephone', 'Mineral Water', ' Hot / Cold Running Water']",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
