,hotel_id,hotel_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,site_review_rating,hotel_facilities,room_facilities
0,H000001,Homewood Suites by Hilton RaleighDurham APResearch Triangle,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,4603 Central Park Dr,"['Hadimba Temple', 'Naggar Village', 'Himalayan Nyingmapa Gompa', 'Tibetan Monasteries', 'Naggar', 'Van Vihar', 'Manali 1st Super Market', 'Manu Temple', 'Lady Willingdon Hospital', 'Chandrakhani Pass', 'Gadham Thekchhokling Gompa', 'Manali Bus Stand', 'Civil Hospital', 'Others', 'Arjun Gufa', 'Nehru Kund', 'Beas Kund', 'Club House']",Durham,NC,US,35.9,-78.8,Resort,2,4.2,"('Air / Rail Booking', 'Car Rental', 'Catering', ""Children's Park"", 'Courier Service', 'Doctor on Call', 'Dry Cleaning', 'Full Time Operation for All 7 Days', 'Gardens', 'Guide / Sightseeing Service', 'Laundry Service Available', 'Lobby', 'Multi Lingual Staff', 'Open Air Restaurant / Dining', 'Parking Facility', 'Postal / Parcel Services', 'RO Water Purification System', 'Restaurant', 'Security at All Hotel Entrances', 'Suites', 'Taxi Services', 'Vegetarian Food / Jain Food Available', 'Wake-up Call / Service')","('Attached Bathroom', 'Bathrobes', 'Bathroom Amenities', 'Bedside Table', 'Breakfast Available', 'Breakfast chargeable', 'Ceiling Fan', 'Clothes Hook in Bathroom', 'Complete Bedding', 'Daily Room Cleaning', 'Desk', 'Dustbins', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Extra Toilteries on Demand', 'Gas Cylinder - Chargeable', 'HD / LCD Satellite TV', 'Hill View from all Rooms', 'Hot / Cold Running Water', 'Housekeeping', 'Luggage Rack', 'Mirror', 'Modern Toilet Facilities', 'Private Garden', 'Room Door Fitted with Lock and Key', 'Shower', 'Sofa Table / Extra Seats', 'Telephone', 'Television', 'Western Toilet Seat', 'Heating Facility on Request', 'Safe', 'Window Open / Ventilation', 'Porter Services')"
1,H000002,Four Points by Sheraton Orlando International Drive,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,5905 International Drive,"['Sushant Lok', 'Sahara Mall', 'Amity International School']",Orlando,FL,US,28.5,-81.5,Guest House,0,5.0,"('Baggage Room', 'Banquet Facilities', 'Business Center', 'Currency Exchange', 'Doctor on Call', 'Front Desk', 'Health Club / Gym Facility Available', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Locker Facility', 'Major Credit Cards Accepted', 'Parking Facility', 'Power Backup')","('Air Conditioning', 'Attached Bathroom', 'Bathroom Amenities', 'Breakfast Available', 'Ceiling Fan', 'Coffee Table', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Hairdryer', 'Hot / Cold Running Water', 'Housekeeping', 'Mineral Water', 'Mini Refrigerator', 'Mirror', 'Newspapers', 'Snacks / Beverage', 'Tea Coffee Kettle / Maker', 'Telephone', 'Television', 'Utensils (on request)', 'Heating Facility on Request', 'Airport Transfer')"
2,H000003,Hampton Inn Pittsburgh/West Mifflin,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,1550 Lebanon Church Road,"['The Mall', 'Tibetian Monastery', 'Vashisht Hot Baths', 'Jagatsuhk', 'Village Simsa', 'Chandrakhani Pass', 'Manali 1st Super Market']",Pittsburgh,PA,US,40.3,-80.0,Cottage,2,5.0,"('Car Rental', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Local Tour / Travel Desk', 'Parking Facility')","('Bathroom Amenities', 'Hot / Cold Running Water', 'Telephone', 'Television', 'Heating Facility on Request')"
3,H000004,JW Marriott Atlanta Buckhead,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,3300 Lenox Road NE,"['International Airport', 'Domestic Airport', 'New Delhi Railway Station', 'India Gate', 'Red Fort', 'Lotus Temple', 'Nehru Place', 'Connaught Place', 'Jantar Mantar', 'Qutab Minar', 'Gurgaon', 'Birla Mandir', 'Karol Bagh Metro Station', 'Noida', 'Liberty Theatre', 'Jhandewalan Mandir', 'Gaffar Market', 'Shivaji Stadium', 'Karol Bagh Area', 'Talkatora Indoor Stadium', 'Sarai Rohilla Station', 'Ajmeri Gate', 'Karnail Singh Stadium', 'West Delhi']",Atlanta,GA,US,33.8,-84.4,Hotel,3,4.0,"(' Drivers Rest Room', 'ATM / Banking', 'Adjoining Rooms', 'Air-Conditioning - Central', 'Baggage Room', 'Banquet Facilities', 'Barbecue Area', 'Board Room', 'Business Center', 'CCTV', 'Car Rental', 'Coffee Shop / Cafe', 'Concierge', 'Conference Facility', 'Currency Exchange', 'Doctor on Call', 'Doorman', 'Dry Cleaning', 'Express Laundry', 'Family Room', 'Front Desk', 'Full Time Operation for All 7 Days', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Local Tour / Travel Desk', 'Locker Facility', 'Major Credit Cards Accepted', 'Medical Assistance Available', 'Multi Cuisine Restaurant', 'Multi Lingual Staff', 'Open Air Restaurant / Dining', 'Paid Transfers', 'Parking Facility', 'Pest Control Facility', 'Power Backup', 'Public Restrooms', 'RO Water Purification System', 'Restaurant', 'Rooftop Garden', 'Secretarial Services', 'Separate Sitting Area', 'Stamps and Mailing Facility', 'Taxi Services', 'Vegetarian Food / Jain Food Available', 'Veranda', 'Voicemail', 'Wake-up Call / Service', 'Water Dispenser Available', 'Welcome Drinks')","('Air Conditioning', 'Bathrobes', 'Breakfast Available', 'Desk', 'Ensuite / Private Bathroom', 'HD / LCD Satellite TV', 'Hairdryer', 'Hot / Cold Running Water', 'Housekeeping', 'Luggage Rack', 'Mineral Water', 'Mini Bar', 'Mirror', 'Newspapers', 'No Smoking Room', 'Premium Beddings / Hypo-Allergenic ', 'Reading Lamps', 'Shower', 'Shower Cap', 'Sofa Table / Extra Seats', 'Tea Coffee Kettle / Maker', 'Telephone', 'Wardrobe', 'Window Open / Ventilation', 'Outdoor Parking')"
4,H000005,Best Western-rambler,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.,457 US Highway 85 87,"['Others', 'K.L. Saini Stadium', 'BAPS Shri Swaminarayan Mandir']",Walsenburg,CO,US,37.7,-104.8,Homestay,1,3.0,"('Doctor on Call', 'Front Desk', 'Lobby', 'Local Tour / Travel Desk')","('Air Conditioning', 'Attached Bathroom', 'Ceiling Fan', 'Mineral Water', 'Television')"
5,H000006,Sugar Maple Inn,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We will require ID proof of all guest including spouses and fiances. Checkout is 12 noon which can be flexible depending on guest booking for that particular day.,8546 Edgemont Rd,"['Rg Baruah Road', 'Nehru Stadium', 'Guwahati Railway Station', 'Assam State Museum', 'Guwahati Planetarium']",Higden,AR,US,35.6,-92.2,Hotel,0,5.0,"('Board Room', 'Business Center', 'Car Rental', ""Children's Park"", 'Conference Facility', 'Doctor on Call', 'Dry Cleaning', 'Gardens', 'Laundry Service Available', 'Parking Facility', 'Power Backup', 'Welcome Drinks')","('Bathroom Amenities', 'Ceiling Fan', 'Mirror', 'Newspapers', 'Tea Coffee Kettle / Maker')"
6,H000007,Pacific Terrace Hotel,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Most hotels do not allow unmarried / unrelated couples to check-in. This is at full discretion of the hotel management. No refund would be applicable in case the hotel denies check-in under such circumstances .,610 Diamond Street,['Thuraipakkam'],San Diego,CA,US,32.8,-117.3,Hotel,0,3.8,"('Front Desk', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Locker Facility', 'Parking Facility', 'Power Backup')","('Air Conditioning', 'Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Hot / Cold Running Water', 'Housekeeping', 'Mirror', 'Television', 'Toiletries', 'Outdoor Parking')"
7,H000008,Best Western Santa Fe,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,4600 I-40 E,"['Beach Road', 'Mandarmani Beach']",Amarillo,TX,US,35.2,-101.8,Resort,0,5.0,"('Doctor on Call', 'Front Desk', 'Gardens', 'Laundry Service Available', 'Multi Cuisine Restaurant', 'Parking Facility', 'Power Backup')","('Air Conditioning', 'Attached Bathroom', 'Television')"
8,H000009,Atlantic Inn,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Early check in and late check out is subject to availability and extras will be charged on direct payable basis.  No pets allowed.,28534 Dupont Blvd,"['Arthur Seat', 'Yercaud Main Town', 'Killiyur Falls']",Millsboro,DE,US,38.6,-75.3,Guest House,0,5.0,"('Business Center', 'Front Desk', 'Gardens', 'Laundry Service Available', 'Lobby', 'Multi Cuisine Restaurant', 'Parking Facility', 'Power Backup')","('Attached Bathroom', 'Breakfast Available', 'HD / LCD Satellite TV', 'Hot / Cold Running Water', 'Housekeeping', 'Mineral Water', 'Mirror', 'Newspapers', 'Telephone', 'Toiletries')"
9,H000010,Best Western Ambassador Inn & Suites,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The primary guest must be at least 18 years of age to check into this hotel As per Government regulation, it is mandatory for all guests adove 18 years of age carry a valid photo identity card and address proof at the time of check-in.",610 S Frontage Rd,"['Others', 'Krishna Market', 'Sector-43 Bus Stand', 'Mohali Cricket Stadium', 'Hockey Stadium']",Wisconsin Dells,WI,US,43.6,-89.8,Resort,0,1.0,"('Bar / Lounge ', 'Conference Facility', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Multi Cuisine Restaurant', 'Sauna', 'Swimming Pool')","('Air Conditioning', 'Ceiling Fan', 'Hot / Cold Running Water', 'Mineral Water', 'Telephone', 'Television')"
