,user_id,reviews.username,reviews.userCity,reviews.userProvince
0,U000001,tatsurok2018,San Jose,UnitedStates
1,U000002,STEPHEN N,San Francisco,CA
2,U000003,15Deborah,Prescott Valley,AZ
3,U000004,Wilfredo M,Guaynabo,PR
4,U000005,Luc D,Reno,NV
5,U000006,LKDiScenza,Nashville,TN
6,U000007,GGTravels2016,Charlotte,NC
7,U000008,madaramapquest,Hanceville,Alabama
8,U000009,IUMIKECOO,Jeffersonville,Indiana
9,U000010,johnnytuba,Lawton,OK
10,U000011,colonialgal,Williamsburg,VA
11,U000012,Jonathan C,London,UnitedKingdom
12,U000013,Kristen Y,Los Angeles,CA
13,U000014,Stacy D,Honolulu,Hawaii
14,U000015,brand0nstark,New York City,NewYork
15,U000016,RobertKestenbaum,Arlington,Texas
16,U000017,donp638,Des Moines,Washington
17,U000018,B1962UTvictoriaa,Philadelphia,Pennsylvania
18,U000019,kenthecelt,Abergavenny,UnitedKingdom
19,U000020,josenc2016,Cayey,PuertoRico
20,U000021,396kathyg,Palms West,Florida
21,U000022,Alamo77,San Francisco,California
22,U000023,jrvcrj,North Kansas City,Missouri
23,U000024,ophiacus46,Cumming,Georgia
24,U000025,Cindy P,Houston,Texas
25,U000026,jovinhome,New York City,NewYork
26,U000027,mattpC371JZ,New Orleans,Louisiana
27,U000028,cseibert91,Houston,Texas
28,U000029,G2744BFjand,Hossegor,France
29,U000030,Diana F,Texas City,Texas
30,U000031,am0raga,Santiago,Chile
31,U000032,Melissa W,New York City,NewYork
32,U000033,Ashlee B,Delcambre,Louisiana
33,U000034,246elnap,Bradenton,Florida
34,U000035,josephcarter2018,Leesburg,Virginia
35,U000036,David E,San Diego,California
36,U000037,64allen,London,UnitedKingdom
37,U000038,Frank D,Los Angeles,California
38,U000039,Thomas W,Columbus,Indiana
39,U000040,Ken P,San Carlos,Panama
40,U000041,338maikelj,Meijel,TheNetherlands
41,U000042,ezellam,Savannah,Georgia
42,U000043,SiriusSkier23,Breckenridge,Colorado
43,U000044,200cathyt,Nashville,Tennessee
44,U000045,Michael S,West Palm Beach,Florida
45,U000046,bobcampbell60,Glasgow,UnitedKingdom
46,U000047,71selwynh,Toronto,Canada
47,U000048,calipilot,Sacramento,California
48,U000049,Ian M,Houston,Texas
49,U000050,Gina R,Covington,Louisiana
50,U000051,akuhn342555,Indianapolis,Indiana
51,U000052,Rebecca B,Buckeye,Arizona
52,U000053,karab997,Houston,Texas
53,U000054,cathyg117,Hattiesburg,Mississippi
54,U000055,Timothy C,Prescott Valley,Arizona
55,U000056,arethac789,Cordova,Tennessee
56,U000057,JULPST,Enfield,Connecticut
57,U000058,Biscuit2005,Yukon,Oklahoma
58,U000059,nmoissaint,Austin,Texas
59,U000060,res877,Elkton,Virginia
60,U000061,Bill7766,Las Vegas,Nevada
61,U000062,M3RM0R,Louisville,CO
62,U000063,Clarence I,Fort Lupton,CO
63,U000064,Cecilia M,Fort Collins,CO
64,U000065,Richard R,Grand Junction,Colorado
65,U000066,lshaf1315,Wilmington,DE
66,U000067,Galway C,Thornton,Colorado
67,U000068,EKG1226,Saint Louis,Missouri
68,U000069,shauns300,Adelaide,Australia
69,U000070,rewardgal,Colorado Springs,Colorado
70,U000071,almarcusp23,Denver,Colorado
71,U000072,JRHLindsey,Gideon,Missouri
72,U000073,Janice R,Schererville,Indiana
73,U000074,ludwig71937,Centennial,Colorado
74,U000075,KenSparks,Colorado Springs,Colorado
75,U000076,ProMommie,Fort Collins,Colorado
76,U000077,Donna B,Regina,Saskatchewan
77,U000078,995eddies,Alpharetta,Georgia
78,U000079,Yorlive,Bryan,Texas
79,U000080,59jessicac,Albuquerque,NewMexico
80,U000081,Jo K,Bradenton,Florida
81,U000082,Lance Y,Denver,Colorado
82,U000083,Diane D,Plymouth,Minnesota
83,U000084,traveling_smiles,Longmont,Colorado
84,U000085,Giselle70,Fowler,IN
85,U000086,Alaska23_Family,Eagle River,AK
86,U000087,Maliea F,Herrin,IL
87,U000088,ajelgatian,Muscatine,IA
88,U000089,Brandi R,San Jose,California
89,U000090,DrGuapo,Cloverdale,California
90,U000091,looski,Encinitas,California
91,U000092,John B,Oceanside,California
92,U000093,Colleen G,Scotch Plains,NewJersey
93,U000094,chefshaded,Inglewood,California
94,U000095,Susan W,Thornaby on Tees,UnitedKingdom
95,U000096,Steve W,Surprise,Arizona
96,U000097,Charles B,Anaheim,California
97,U000098,Omni99,Ashland,Massachusetts
98,U000099,keshafierce,Houston,Texas
99,U000100,521espenl,Lillesand,Norway
100,U000101,Jackieboy014,Longport,NewJersey
101,U000102,love10s,Huntsville,Alabama
102,U000103,kirk441,San Pedro Garza Garcia,Mexico
103,U000104,Nerissa W,detroit,michigan
104,U000105,Nick C,Melbourne,Australia
105,U000106,Gregory N,Ontario,California
106,U000107,lisabow1,Merrimac,Massachusetts
107,U000108,Wagner2330,Rio de Janeiro,Brazil
108,U000109,Elise J,Riverside,California
109,U000110,boyzrsmely,Los Angeles,California
110,U000111,Panuspics,Provo,Utah
111,U000112,Y9506WFronalds,St Andrews,UnitedKingdom
112,U000113,Carver123,San Jose,California
113,U000114,Marnelle L,San Diego,California
114,U000115,Adria P,Murrieta,California
115,U000116,C8457YJmichaele,Cumberland,RhodeIsland
116,U000117,jeffreyt1029,Louisville,Kentucky
117,U000118,10Lighthouse02,Denver,Colorado
118,U000119,pe556ai,Dallas,Texas
119,U000120,June B,Amarillo,Texas
120,U000121,Enrique A,Gilbert,Arizona
121,U000122,victorgW7732KH,Houston,Texas
122,U000123,chrisE9950CL,Denver,Colorado
123,U000124,Larry K,Bakersfield,California
124,U000125,E W,Danbury,Connecticut
125,U000126,betsnow,Vail,Arizona
126,U000127,592taviag,Dallas,Texas
127,U000128,Will L,Orange,UnitedStates
128,U000129,Gaganjot S,Fremont,UnitedStates
129,U000130,E5131NPgaryp,Alpine,California
130,U000131,590rubenl,El Paso,Texas
131,U000132,Sbd0512,Los Angeles,California
132,U000133,anacU7065VB,Yuma,Arizona
133,U000134,tc8288,Millbrae,California
134,U000135,Shelley H,Pendleton,Indiana
135,U000136,Lisa O,Arlington,Texas
136,U000137,Pam O,Mesa,Arizona
137,U000138,Dolores F,LAS VEGAS,UnitedStates
138,U000139,Kurt S,Bannning,UnitedStates
139,U000140,Gene T,Lehi Utah,UnitedStates
140,U000141,Daryl H,Rancho Palos Verdes,UnitedStates
141,U000142,Carlo A,Las Vegas,UnitedStates
142,U000143,Dbax,Phoenix,Arizona
143,U000144,Jef I,Chico,California
144,U000145,Jeff T,Los Angeles,UnitedStates
145,U000146,alanh45953,Henderson,Nevada
146,U000147,Ralph C,Colorado Springs,Colorado
147,U000148,Daydream11113642717,Victorville,California
148,U000149,hazcat1,Oakville,Canada
149,U000150,VtaTraveler,Ventura,California
150,U000151,lorifrazer,Tucson,Arizona
151,U000152,Sassasan,Shinjuku,Japan
152,U000153,cj01950,Newburyport,Massachusetts
153,U000154,STrapaniJonesia,Houston,Texas
154,U000155,par_a_dice_lv,Las Vegas,Nevada
155,U000156,jjhoster,Syracuse,NewYork
156,U000157,lairdc266,Chicago,Illinois
157,U000158,bushman1031,Tupper Lake,NewYork
