,user_id,username,user_city,user_state,reviewed_hotel
0,U000001,tatsurok2018,San Jose,UnitedStates,['H000021']
1,U000002,STEPHEN N,San Francisco,CA,['H001054']
2,U000003,15Deborah,Prescott Valley,AZ,['H001054']
3,U000004,Wilfredo M,Guaynabo,PR,['H001054']
4,U000005,Luc D,Reno,NV,['H001054']
5,U000006,LKDiScenza,Nashville,TN,['H001100']
6,U000007,GGTravels2016,Charlotte,NC,['H001100']
7,U000008,madaramapquest,Hanceville,Alabama,['H001074']
8,U000009,IUMIKECOO,Jeffersonville,Indiana,['H000193']
9,U000010,johnnytuba,Lawton,OK,['H000194']
10,U000011,colonialgal,Williamsburg,VA,['H000328']
11,U000012,Jonathan C,London,UnitedKingdom,"['H000327', 'H000252']"
12,U000013,Kristen Y,Los Angeles,CA,['H000786']
13,U000014,Stacy D,Honolulu,Hawaii,"['H000584', 'H000074']"
14,U000015,brand0nstark,New York City,NewYork,['H000584']
15,U000016,RobertKestenbaum,Arlington,Texas,['H000584']
16,U000017,donp638,Des Moines,Washington,['H000584']
17,U000018,B1962UTvictoriaa,Philadelphia,Pennsylvania,['H000584']
18,U000019,kenthecelt,Abergavenny,UnitedKingdom,['H000584']
19,U000020,josenc2016,Cayey,PuertoRico,['H000584']
20,U000021,396kathyg,Palms West,Florida,['H000584']
21,U000022,Alamo77,San Francisco,California,['H000584']
22,U000023,jrvcrj,North Kansas City,Missouri,['H000584']
23,U000024,ophiacus46,Cumming,Georgia,['H000584']
24,U000025,Cindy P,Houston,Texas,['H000584']
25,U000026,jovinhome,New York City,NewYork,['H000584']
26,U000027,mattpC371JZ,New Orleans,Louisiana,['H000584']
27,U000028,cseibert91,Houston,Texas,['H000584']
28,U000029,G2744BFjand,Hossegor,France,['H000584']
29,U000030,Diana F,Texas City,Texas,['H000584']
30,U000031,am0raga,Santiago,Chile,['H000584']
31,U000032,Melissa W,New York City,NewYork,['H000584']
32,U000033,Ashlee B,Delcambre,Louisiana,['H000584']
33,U000034,246elnap,Bradenton,Florida,['H000584']
34,U000035,josephcarter2018,Leesburg,Virginia,['H000584']
35,U000036,David E,San Diego,California,"['H000584', 'H000252']"
36,U000037,64allen,London,UnitedKingdom,['H000584']
37,U000038,Frank D,Los Angeles,California,['H000584']
38,U000039,Thomas W,Columbus,Indiana,"['H000584', 'H000394']"
39,U000040,Ken P,San Carlos,Panama,['H000584']
40,U000041,338maikelj,Meijel,TheNetherlands,['H000584']
41,U000042,ezellam,Savannah,Georgia,['H000584']
42,U000043,SiriusSkier23,Breckenridge,Colorado,['H000584']
43,U000044,200cathyt,Nashville,Tennessee,['H000584']
44,U000045,Michael S,West Palm Beach,Florida,"['H000584', 'H000983']"
45,U000046,bobcampbell60,Glasgow,UnitedKingdom,['H000584']
46,U000047,71selwynh,Toronto,Canada,['H000584']
47,U000048,calipilot,Sacramento,California,['H000584']
48,U000049,Ian M,Houston,Texas,"['H000584', 'H000024']"
49,U000050,Gina R,Covington,Louisiana,['H000584']
50,U000051,akuhn342555,Indianapolis,Indiana,['H000584']
51,U000052,Rebecca B,Buckeye,Arizona,"['H000584', 'H000767']"
52,U000053,karab997,Houston,Texas,['H000584']
53,U000054,cathyg117,Hattiesburg,Mississippi,['H000584']
54,U000055,Timothy C,Prescott Valley,Arizona,['H000584']
55,U000056,arethac789,Cordova,Tennessee,['H000584']
56,U000057,JULPST,Enfield,Connecticut,['H000584']
57,U000058,Biscuit2005,Yukon,Oklahoma,['H000584']
58,U000059,nmoissaint,Austin,Texas,['H000584']
59,U000060,res877,Elkton,Virginia,['H000584']
60,U000061,Bill7766,Las Vegas,Nevada,['H000584']
61,U000062,M3RM0R,Louisville,CO,['H000617']
62,U000063,Clarence I,Fort Lupton,CO,['H000617']
63,U000064,Cecilia M,Fort Collins,CO,['H000617']
64,U000065,Richard R,Grand Junction,Colorado,"['H000081', 'H000039']"
65,U000066,lshaf1315,Wilmington,DE,['H000048']
66,U000067,Galway C,Thornton,Colorado,['H000264']
67,U000068,EKG1226,Saint Louis,Missouri,['H000264']
68,U000069,shauns300,Adelaide,Australia,['H000264']
69,U000070,rewardgal,Colorado Springs,Colorado,['H000264']
70,U000071,almarcusp23,Denver,Colorado,"['H000264', 'H000264']"
71,U000072,JRHLindsey,Gideon,Missouri,['H000264']
72,U000073,Janice R,Schererville,Indiana,['H000264']
73,U000074,ludwig71937,Centennial,Colorado,['H000264']
74,U000075,KenSparks,Colorado Springs,Colorado,['H000264']
75,U000076,ProMommie,Fort Collins,Colorado,['H000264']
76,U000077,Donna B,Regina,Saskatchewan,"['H000264', 'H001118']"
77,U000078,995eddies,Alpharetta,Georgia,['H000264']
78,U000079,Yorlive,Bryan,Texas,['H000264']
79,U000080,59jessicac,Albuquerque,NewMexico,['H000264']
80,U000081,Jo K,Bradenton,Florida,['H000264']
81,U000082,Lance Y,Denver,Colorado,['H000264']
82,U000083,Diane D,Plymouth,Minnesota,"['H000264', 'H000509']"
83,U000084,traveling_smiles,Longmont,Colorado,['H000264']
84,U000085,Giselle70,Fowler,IN,['H001214']
85,U000086,Alaska23_Family,Eagle River,AK,"['H001214', 'H000039']"
86,U000087,Maliea F,Herrin,IL,['H001281']
87,U000088,ajelgatian,Muscatine,IA,['H001281']
88,U000089,Brandi R,San Jose,California,['H001025']
89,U000090,DrGuapo,Cloverdale,California,['H000779']
90,U000091,looski,Encinitas,California,['H000336']
91,U000092,John B,Oceanside,California,"['H000336', 'H000076', 'H000511']"
92,U000093,Colleen G,Scotch Plains,NewJersey,['H000336']
93,U000094,chefshaded,Inglewood,California,['H000336']
94,U000095,Susan W,Thornaby on Tees,UnitedKingdom,['H000336']
95,U000096,Steve W,Surprise,Arizona,"['H000336', 'H000862', 'H000770']"
96,U000097,Charles B,Anaheim,California,"['H000336', 'H000555']"
97,U000098,Omni99,Ashland,Massachusetts,['H000336']
98,U000099,keshafierce,Houston,Texas,['H000336']
99,U000100,521espenl,Lillesand,Norway,['H000336']
100,U000101,Jackieboy014,Longport,NewJersey,['H000336']
101,U000102,love10s,Huntsville,Alabama,['H000336']
102,U000103,kirk441,San Pedro Garza Garcia,Mexico,['H000336']
103,U000104,Nerissa W,detroit,michigan,['H000336']
104,U000105,Nick C,Melbourne,Australia,['H000970']
105,U000106,Gregory N,Ontario,California,['H000970']
106,U000107,lisabow1,Merrimac,Massachusetts,['H000970']
107,U000108,Wagner2330,Rio de Janeiro,Brazil,['H000970']
108,U000109,Elise J,Riverside,California,['H000970']
109,U000110,boyzrsmely,Los Angeles,California,['H000970']
110,U000111,Panuspics,Provo,Utah,['H000970']
111,U000112,Y9506WFronalds,St Andrews,UnitedKingdom,['H000970']
112,U000113,Carver123,San Jose,California,['H000970']
113,U000114,Marnelle L,San Diego,California,['H000970']
114,U000115,Adria P,Murrieta,California,['H000970']
115,U000116,C8457YJmichaele,Cumberland,RhodeIsland,['H000970']
116,U000117,jeffreyt1029,Louisville,Kentucky,['H000767']
117,U000118,10Lighthouse02,Denver,Colorado,['H000767']
118,U000119,pe556ai,Dallas,Texas,['H000767']
119,U000120,June B,Amarillo,Texas,['H000767']
120,U000121,Enrique A,Gilbert,Arizona,['H000767']
121,U000122,victorgW7732KH,Houston,Texas,['H000767']
122,U000123,chrisE9950CL,Denver,Colorado,['H000767']
123,U000124,Larry K,Bakersfield,California,['H000767']
124,U000125,E W,Danbury,Connecticut,['H000767']
125,U000126,betsnow,Vail,Arizona,['H000767']
126,U000127,592taviag,Dallas,Texas,['H000767']
127,U000128,Will L,Orange,UnitedStates,['H000767']
128,U000129,Gaganjot S,Fremont,UnitedStates,['H000767']
129,U000130,E5131NPgaryp,Alpine,California,['H000767']
130,U000131,590rubenl,El Paso,Texas,['H000767']
131,U000132,Sbd0512,Los Angeles,California,['H000767']
132,U000133,anacU7065VB,Yuma,Arizona,['H000767']
133,U000134,tc8288,Millbrae,California,['H000767']
134,U000135,Shelley H,Pendleton,Indiana,['H000767']
135,U000136,Lisa O,Arlington,Texas,['H000767']
136,U000137,Pam O,Mesa,Arizona,['H000767']
137,U000138,Dolores F,LAS VEGAS,UnitedStates,['H000767']
138,U000139,Kurt S,Bannning,UnitedStates,['H000767']
139,U000140,Gene T,Lehi Utah,UnitedStates,['H000767']
140,U000141,Daryl H,Rancho Palos Verdes,UnitedStates,['H000767']
141,U000142,Carlo A,Las Vegas,UnitedStates,['H000767']
142,U000143,Dbax,Phoenix,Arizona,['H000767']
143,U000144,Jef I,Chico,California,['H000767']
144,U000145,Jeff T,Los Angeles,UnitedStates,['H000767']
145,U000146,alanh45953,Henderson,Nevada,['H000767']
146,U000147,Ralph C,Colorado Springs,Colorado,"['H000767', 'H000440']"
147,U000148,Daydream11113642717,Victorville,California,['H000767']
148,U000149,hazcat1,Oakville,Canada,['H000767']
149,U000150,VtaTraveler,Ventura,California,['H000767']
150,U000151,lorifrazer,Tucson,Arizona,['H001232']
151,U000152,Sassasan,Shinjuku,Japan,['H001232']
152,U000153,cj01950,Newburyport,Massachusetts,['H001232']
153,U000154,STrapaniJonesia,Houston,Texas,['H001232']
154,U000155,par_a_dice_lv,Las Vegas,Nevada,['H001232']
155,U000156,jjhoster,Syracuse,NewYork,['H001232']
156,U000157,lairdc266,Chicago,Illinois,['H001232']
157,U000158,bushman1031,Tupper Lake,NewYork,['H001232']
158,U000159,mrshibariplay,Vacaville,California,['H001232']
159,U000160,Cypressman,Huntsville,Texas,['H001232']
160,U000161,Merlot2010,Austin,Texas,['H001232']
161,U000162,Vacation05768545910,Tampa,Florida,['H000965']
162,U000163,Dean L,Liss,UnitedKingdom,['H000965']
163,U000164,Earl R,Phoenix,UnitedStates,['H000472']
164,U000165,s7km4,Queens,NewYork,['H000472']
165,U000166,Versace T,Phoenix,Arizona,['H000472']
166,U000167,nillenille,Hassleholm,Sweden,['H000472']
167,U000168,Bernard B,East Sandwich,UnitedStates,['H000472']
168,U000169,Amanda M,Portland,Oregon,"['H000472', 'H001246']"
169,U000170,ukguyz,Southampton,UnitedKingdom,['H000472']
170,U000171,PinoGeppi,Zurich,Switzerland,['H000472']
171,U000172,Franr123,Townville,SouthCarolina,['H000472']
172,U000173,mjesf,San Diego,California,['H000472']
173,U000174,Molly R,Fallbrook,California,['H000472']
174,U000175,geoffreyb206,Simi Valley,UnitedStates,['H000472']
175,U000176,Granbybuck,Liverpool,UnitedKingdom,['H000472']
176,U000177,PMazz945,San Francisco,CA,['H000472']
177,U000178,Latonya C,Lakewood,UnitedStates,['H000472']
178,U000179,Marilyn M,Florence,Arizona,"['H000472', 'H000519']"
179,U000180,xtravacs,Lake Arrowhead,California,['H000472']
180,U000181,539humbertoe,Chandler,Arizona,['H000472']
181,U000182,Maria Monica S,Phoenix,UnitedStates,['H000472']
182,U000183,MariaElena H,Litchfield Park,Arizona,['H000472']
183,U000184,451dennisy,Belmont,California,['H000472']
184,U000185,Suzelle,San Luis Obispo,California,['H000472']
185,U000186,Brian S,Mercer Island,Washington,['H000472']
186,U000187,chazking,Flagstaff,Arizona,['H000472']
187,U000188,Jeannette A,Long Beach,California,['H000472']
188,U000189,Robin K,Coquitlam,Canada,['H000472']
189,U000190,amiroi,Israel,Jerusalem,['H000472']
190,U000191,PrinceAndrew,Saint John,Canada,['H000472']
191,U000192,LHazel,Post Falls,Idaho,['H000472']
192,U000193,Floyd H,San Diego,UnitedStates,['H000472']
193,U000194,Diane G,Union City,UnitedStates,"['H000472', 'H000929']"
194,U000195,eraccio01,West Haven,Connecticut,['H000472']
195,U000196,Robert U,Santa Ana,California,['H000472']
196,U000197,LeRoy W,Oroville,California,['H000472']
197,U000198,Kenneth L,Fresno,California,"['H000472', 'H000059']"
198,U000199,Eleanor G,Auckland,NewZealand,['H000472']
199,U000200,Ben P,Tucson,Arizona,['H000472']
200,U000201,Rita T,Auckland,NewZealand,['H000472']
201,U000202,Daniel E,la verne,UnitedStates,['H000472']
202,U000203,Nannab77,Menifee,California,['H000472']
203,U000204,starberry2016,Washington,Connecticut,['H000472']
204,U000205,Marilynn L,Las Vegas,Nevada,['H000472']
205,U000206,April B,San Diego,UnitedStates,['H000472']
206,U000207,fujirio,Barstow,California,['H000472']
207,U000208,socdriver,Land O Lakes,Florida,['H000472']
208,U000209,Mamaginaa,Corona,California,['H000472']
209,U000210,94nginat,long Beach,UnitedStates,['H000472']
210,U000211,tmanfewell,Huntington Beach,California,['H000472']
211,U000212,154pierretteh,Claremont,NewHampshire,['H000472']
212,U000213,DashDad,Salem,Oregon,['H000472']
213,U000214,Travelguide13,New York City,NewYork,['H000472']
214,U000215,Debra D,san leandro,UnitedStates,['H000472']
215,U000216,R221XZmatthewb,Davis,UnitedStates,['H000472']
216,U000217,chery c,Napa,California,['H000472']
217,U000218,Kat F,Mount Vernon,Ohio,['H000472']
218,U000219,Jessica C,Yuma,Arizona,"['H000472', 'H000911', 'H000135']"
219,U000220,George B,Blakely,Pennsylvania,"['H000472', 'H000059']"
220,U000221,JoseS171,Guatemala City,Guatemala,['H000472']
221,U000222,Jtyatchmenoff,San Diego,California,['H000472']
222,U000223,fritzig2017,Anchorage,Alaska,['H000472']
223,U000224,Christopher E,Weymouth,UnitedStates,['H000472']
224,U000225,Leonard P,Helston,England,['H000472']
225,U000226,BobbyCha,Bangkok,Thailand,['H000472']
226,U000227,Matt N,Santa Barbara,California,['H000472']
227,U000228,mxlonerider,Huntsville,Alabama,['H000472']
228,U000229,Ed S,Seattle,UnitedStates,['H000472']
229,U000230,Gerald B,Bergen,NewYork,['H000472']
230,U000231,John K,Gloucester,UnitedStates,"['H000472', 'H000271']"
231,U000232,Diana S,San Diego,UnitedStates,['H000472']
232,U000233,Mryoutube,San Diego,California,['H000472']
233,U000234,sarahsH3885XL,Lewiston,Idaho,['H000472']
234,U000235,levine331,Clermont,Florida,['H000472']
235,U000236,derekk2007,Los Angeles,California,['H000472']
236,U000237,Stephanie N,San Diego,California,['H000472']
237,U000238,gardengatebnb,Palmer,AK,['H000472']
238,U000239,Ryver O,Chester,UnitedStates,['H000472']
239,U000240,Z9940CBkarenm,los angeles,UnitedStates,['H000472']
240,U000241,DhyaniGoddess,Edgewood,NM,['H000472']
241,U000242,Zlata F,Chandler,UnitedStates,['H000472']
242,U000243,Sherry B,Hartland,Wisconsin,['H000472']
243,U000244,Esperanza L,Peoria,Arizona,['H000472']
244,U000245,Dananviv,Summerville,SouthCarolina,['H000472']
245,U000246,vip4me,Dallas,Texas,['H000472']
246,U000247,grb53,Tucson,Arizona,['H000472']
247,U000248,Michael P,Seattle,UnitedStates,"['H000472', 'H000472', 'H000978']"
248,U000249,andrew l,Morrisville,Pennsylvania,['H000472']
249,U000250,Tezcatlipoca1,San Diego,California,['H000472']
250,U000251,Stacie A,Los Angeles,California,['H000472']
251,U000252,P446JVhelenh,San Jose,UnitedStates,"['H000472', 'H000911']"
252,U000253,Zenayz,San Diego,California,['H000472']
253,U000254,822jesser,Los Angeles,UnitedStates,['H000472']
254,U000255,SunlandSonia,Los Angeles,CA,['H000472']
255,U000256,480dallastraveler,Dallas,TX,['H000472']
256,U000257,charliessavannah,Calgary,Canada,['H000472']
257,U000258,Bradstaaf,Portland,Maine,['H000472']
258,U000259,Betsy L,Fremont,California,['H000472']
259,U000260,Sally C,Reno,Nevada,"['H000472', 'H000198']"
260,U000261,Sid C,Stockton,UnitedStates,['H000472']
261,U000262,debahrke,Vista,California,['H000472']
262,U000263,Gaby K,San Diego,California,['H000472']
263,U000264,Isamarra A,Los Angeles,UnitedStates,['H000472']
264,U000265,Kimberly S,Los Angeles,California,"['H000472', 'H001151']"
265,U000266,Allan W,Columbus,Ohio,['H000472']
266,U000267,TMTATravel,Portland,Oregon,['H000472']
267,U000268,marlo642,Whittier,California,['H000472']
268,U000269,PaulSchm,Las Vegas,Nevada,['H000472']
269,U000270,AntnttaJ,Monterey,California,['H000472']
270,U000271,Thomas M M,Silverdale,UnitedStates,['H000472']
271,U000272,Barbara H,Tucson,UnitedStates,['H000472']
272,U000273,sheflew,Boulder,Colorado,['H000472']
273,U000274,bzzybee13,Chantilly,Virginia,['H000472']
274,U000275,kmhWeyburn_Canada,Weyburn,Canada,['H000472']
275,U000276,Robert S,sacramento,UnitedStates,"['H000472', 'H000472', 'H000567', 'H000091']"
276,U000277,clairecC847TM,Swindon,UnitedKingdom,['H000472']
277,U000278,Lytrell M,Phoenix,UnitedStates,['H000472']
278,U000279,sylvainhutin,Hyeres,France,['H000472']
279,U000280,489curtg,San Diego,UnitedStates,['H000472']
280,U000281,dscarlett45,Green Valley,AZ,['H000472']
281,U000282,MariaLC60,Scottsdale,Arizona,['H000472']
282,U000283,Carolyn B,Arvada,UnitedStates,"['H000472', 'H000860']"
283,U000284,Joan L,Honolulu,Hawaii,['H000472']
284,U000285,Cherie T,Scotts Valley,UnitedStates,['H000472']
285,U000286,AngelaT1029,Pollock Pines,California,['H000472']
286,U000287,CARLOS G,Thousand Oaks,California,['H000472']
287,U000288,Tammylovestheocean,Phoenix,Arizona,['H000472']
288,U000289,Jacquelyn H,Mesa AZ,UnitedStates,['H000472']
289,U000290,islandgems,Camano Island,Washington,['H000472']
290,U000291,SammyGirl1968,Calgary,Canada,"['H000472', 'H000440']"
291,U000292,gardner59,Port Hope,Michigan,['H000472']
292,U000293,Mooney_231,Prescott,Arizona,['H000472']
293,U000294,Karrrbear,Torrance,California,['H001047']
294,U000295,balta89,Kansas City,Missouri,['H001047']
295,U000296,deanne2016,San Diego,California,['H001047']
296,U000297,caref247,Provo,Utah,['H001047']
297,U000298,60retired_12,Calgary,Canada,['H001047']
298,U000299,Justinssvc,Huntington Beach,California,['H001047']
299,U000300,CMN8120,Elk Grove,California,['H001047']
300,U000301,ZapopanFLD,Rosarito,Mexico,['H001047']
301,U000302,Twinboysmommy,Alta Loma,California,['H001047']
302,U000303,Janet M,Sacramento,California,['H001047']
303,U000304,Reviewsfw,Tracy,California,['H001047']
304,U000305,editholvera08,Upland,California,['H001047']
305,U000306,rolyapo,Murrieta,California,['H001047']
306,U000307,JamesNYCity,New York City,NewYork,['H001047']
307,U000308,kafek8t,Cumming,Iowa,['H001047']
308,U000309,michaeloE5606AJ,Sherman,Texas,['H001047']
309,U000310,PatrickVeitch,Adelaide,Australia,['H001047']
310,U000311,BrendaG72,Edmonton,Canada,['H001047']
311,U000312,advantagebill2,Fairfield,California,['H001047']
312,U000313,James L,Barstow,California,"['H001047', 'H000864', 'H000645']"
313,U000314,zonie0531,Peoria,Arizona,['H001047']
314,U000315,GiantsFanLosAngeles,West Covina,California,['H001047']
315,U000316,Marie L,Santa Ana,California,['H001047']
316,U000317,RobertPC118,Banning,California,['H001047']
317,U000318,Lindaj99,Phoenix,Arizona,['H001047']
318,U000319,ROCtraveler30,Fort Collins,Colorado,['H001047']
319,U000320,Delicia O,Vancouver,Canada,['H001047']
320,U000321,TominLA,Los Angeles,California,['H001047']
321,U000322,DawniD_11,Gold Coast,Australia,['H001047']
322,U000323,archer39,Auckland,NewZealand,['H001047']
323,U000324,AlexLisa02,Santa Paula,California,['H001047']
324,U000325,goaCalifornia,San Francisco,California,['H001047']
325,U000326,Amber H,Lehi,Utah,"['H001047', 'H001198']"
326,U000327,V C,Pasadena,California,['H001047']
327,U000328,jeffdblak,Los Angeles,California,['H001047']
328,U000329,4BandE,Pleasanton,California,['H001047']
329,U000330,lori19632015,Colorado Springs,Colorado,['H001047']
330,U000331,bronca7,Green Valley,Arizona,['H001047']
331,U000332,Snarf47,Franklin,Kentucky,['H001047']
332,U000333,Transfeo,Malibu,California,['H001047']
333,U000334,abcdetraveler,Marquette,Michigan,['H001047']
334,U000335,Russell G,Yuma,Arizona,['H001047']
335,U000336,cewilk2,Provo,Utah,['H001047']
336,U000337,SJL4,Phoenix,Arizona,['H001047']
337,U000338,Denise D,Platte City,Missouri,"['H001047', 'H000177']"
338,U000339,SB1114,Irvine,California,['H001047']
339,U000340,Gloria581,San Diego,California,['H001047']
340,U000341,walcan,Tinley Park,Illinois,['H001047']
341,U000342,vacationplansforjohn,Santa Barbara,California,['H001047']
342,U000343,Jayda L,San Diego,California,['H001047']
343,U000344,mariejoseedion,Rimouski,Canada,['H001047']
344,U000345,Pieperjm,Sacramento,California,"['H001047', 'H000509']"
345,U000346,Vsilecchio,Simi Valley,California,['H001047']
346,U000347,SezLuckyGirl,Sedona,Arizona,['H001047']
347,U000348,Laura Shanks B,Terre Haute,Indiana,['H001293']
348,U000349,U802LOsandrav,Muskegon,MI,['H001032']
349,U000350,Linda S,Cleveland,OH,['H001032']
350,U000351,GnarleyNarwhal,Westlake,OH,['H001032']
351,U000352,John T,Indianapolis,IN,"['H001202', 'H000265', 'H000991', 'H000841']"
352,U000353,Adiqna7722,Dayton,OH,['H001202']
353,U000354,Loretta F,Lancaster,OH,['H001202']
354,U000355,jomatstaf,West Palm Beach,FL,['H000642']
355,U000356,JeffW41532,San Jose,California,['H001151']
356,U000357,dcolem680644,Reno,Nevada,['H001151']
357,U000358,QueenieBebe,Orange County,California,['H001151']
358,U000359,fastboxster,Santa Cruz,California,['H001151']
359,U000360,763christinap,Stockton,California,['H001151']
360,U000361,Adena B,Ripley,WestVirginia,['H001151']
361,U000362,Dale M,Atlanta,Georgia,['H001151']
362,U000363,Foodeatersa,Johannesburg,SouthAfrica,['H001151']
363,U000364,Maria B,Barcelona,Philippines,['H001151']
364,U000365,Urban_Tourista,Upland,California,['H001151']
365,U000366,Djibuddha,Ginowan,Japan,['H001151']
366,U000367,Robert_Chicago_60660,Chicago,Illinois,['H001151']
367,U000368,STB3288,Pleasanton,California,['H001151']
368,U000369,Flora Y,Hong Kong,China,['H001151']
369,U000370,A2291AEkims,Cleveland,Ohio,['H001151']
370,U000371,Sarah B,Stuttgart,Germany,"['H001151', 'H001151', 'H000650']"
371,U000372,SanFrancisco060,Huntersville,NorthCarolina,['H001151']
372,U000373,sgf_11,Springfield,Missouri,['H001151']
373,U000374,918debm,Fremont,Ohio,['H001151']
374,U000375,Scrappygirl_Wa,Edmonds,Washington,['H001151']
375,U000376,laurabJ1894RT,Durham,UnitedKingdom,['H001151']
376,U000377,C4063RCerikag,Nyack,NewYork,['H001151']
377,U000378,CarlPicc,Park City,Utah,['H001151']
378,U000379,Nathan M,Calgary,Canada,['H001151']
379,U000380,experiencing,Dallas,Texas,['H001151']
380,U000381,azyb2018,London,UnitedKingdom,['H001151']
381,U000382,nancydX9994XR,Oakley,California,['H001151']
382,U000383,SGCanada84,London,Canada,['H001151']
383,U000384,Sarah H,Scarborough,UnitedKingdom,"['H001151', 'H001091', 'H000816']"
384,U000385,PatriciaN250,Vernon,Canada,['H001151']
385,U000386,troubler,Boston,Massachusetts,['H001151']
386,U000387,Luke H,Newport Beach,California,['H001151']
387,U000388,Axetonio11,Paris,France,['H001151']
388,U000389,piotrk938,Los Angeles,California,['H001151']
389,U000390,mariana728,Glendale,California,['H001151']
390,U000391,Shoney75,Midlothian,Virginia,['H001151']
391,U000392,slimmybim,New York City,NewYork,['H001151']
392,U000393,marco111122,Toronto,Canada,['H001151']
393,U000394,HPNO,New Orleans,Louisiana,['H001151']
394,U000395,sweetsara2000,Fairbanks,Alaska,['H001151']
395,U000396,lindamN7141HB,Sacramento,California,['H001151']
396,U000397,jennifer k,Stockton,California,['H001151']
397,U000398,jonI8692AB,Berryville,Virginia,['H001151']
398,U000399,Alaa S,Brussels,Belgium,['H001151']
399,U000400,RSRdG,San Juan,PuertoRico,['H001151']
400,U000401,LisaJJennings,Orlando,FLorida,['H001151']
401,U000402,ProfUC,New York City,NewYork,['H001151']
402,U000403,MartyMoustache,Ohe en Laak,TheNetherlands,['H001151']
403,U000404,gunnaro862,Batsto,Norway,['H001151']
404,U000405,jrb248,Lehi,Utah,['H001151']
405,U000406,MChristineB,Florissant,MOStLouisMetro,['H001151']
406,U000407,letsgo168,Bellevue,Washington,['H001151']
407,U000408,Ari K,New York City,NewYork,['H001151']
408,U000409,carolynt258,Phoenix,Arizona,['H001151']
409,U000410,Beidup B,Sacramento,California,['H001151']
410,U000411,Jjdubyah,Seattle,Washington,['H001151']
411,U000412,annaK3636XC,Amsterdam,TheNetherlands,['H001151']
412,U000413,Els K,Bakersfield,California,['H001151']
413,U000414,Anthea J,Goodyear,Arizona,['H001151']
414,U000415,bn1,Brighton,England,['H001151']
415,U000416,Art T,Chicago,Illinois,['H001151']
416,U000417,anaolc,Guanajuato,Mexico,['H001151']
417,U000418,TF44,Western Ireland,Ireland,['H001151']
418,U000419,beachvaca12345,Sayville,NewYork,['H001151']
419,U000420,peterhP887MP,Denver,Colorado,['H001151']
420,U000421,Mark B,Phoenix,Arizona,"['H001151', 'H000570', 'H000745', 'H000375']"
421,U000422,Doris J,Seattle,Washington,['H001151']
422,U000423,Greg R,New York City,NewYork,['H001151']
423,U000424,hayjhamilton,Atlanta,Georgia,['H001151']
424,U000425,kenandemilie,Lincoln,California,['H001151']
425,U000426,Gretchen S,San Diego,California,['H001151']
426,U000427,corinnelvis,Peterborough,Canada,['H001151']
427,U000428,Lynn A,Hillsboro,Oregon,['H001151']
428,U000429,PortPower79,Phoenix,Arizona,['H001151']
429,U000430,Matt B,Baltimore,Maryland,"['H001151', 'H000214']"
430,U000431,laurenbX4703AO,New York City,NewYork,['H001151']
431,U000432,sej60,Newton,Massachusetts,['H001151']
432,U000433,RACurry1112,San Jose,California,['H001151']
433,U000434,torontonian360,Toronto,Ontario,['H001151']
434,U000435,lshaws649494,Houston,Texas,['H001151']
435,U000436,aroundtheday,Vancouver,Canada,['H001151']
436,U000437,analK4245MU,Mexico City,Mexico,['H001151']
437,U000438,sjung_721731,San Francisco,California,['H001151']
438,U000439,Yanjeay,Vancouver,Canada,['H001151']
439,U000440,Cesare F,Venice,Italy,['H001151']
440,U000441,Colleen P,Edmonton,Canada,['H001151']
441,U000442,nomadicAndrew,Los Angeles,California,['H001151']
442,U000443,Sara Z,Brooklyn,NewYork,['H001151']
443,U000444,SBC2010,Spokane,Washington,['H001151']
444,U000445,christyankrom,Houston,Texas,['H001151']
445,U000446,markzentz,Brookeville,Maryland,['H001151']
446,U000447,RachTravels09,Oxford,UnitedKingdom,['H001151']
447,U000448,Ross C,Sydney,Australia,['H001151']
448,U000449,pbldoctor,Milwaukee,Wisconsin,['H001151']
449,U000450,835glynp,London,UnitedKingdom,['H001151']
450,U000451,CedricM10100,Geneva,Switzerland,['H001151']
451,U000452,natalie847,Hervey Bay,Australia,['H001151']
452,U000453,daFraR,Bergamo,Italy,['H001151']
453,U000454,Zazzzu,Zurich,Switzerland,['H000303']
454,U000455,Meek4,Sydney,Australia,['H000303']
455,U000456,Globaltattler,Houston,Texas,['H000303']
456,U000457,Ralf H,Berlin,Germany,['H000303']
457,U000458,sncwalsh,Huntington Beach,California,['H000303']
458,U000459,citi10009,New York City,NewYork,['H000303']
459,U000460,JoesueFree,Advance,NorthCarolina,['H000303']
460,U000461,sullyontv,St Petersburg,Florida,['H000303']
